Code,Term,RegionalTerm,Short_definition,Long_definition,Name English
A-36.22,Ṣudā‘ Nawmī,صداع نومي,Somnial headache,Headache due to excessive sleep.,
A-36.23,Ṣudā‘ Dūdī,صداع دودي,headache due to worm,Headache due to the presence of worms in the forebrain.,
A-36.24,Ṣudā‘ Shirkī,صداع شركي,Referred headache,Headache due to involvement of some other disease in the body.,
A-36.25,Ṣudā‘ Shirkī Mi‘dī,صداع شركي معدي,Referred headache due to the involvement of the stomach,Headache due to stomach diseases.,
A-36.26,Ṣudā‘ Shirkī Kabidī,صداع شركي كبدي,Referred headache due to the involvement of the liver,Headache due to liver diseases.,
A-36.27,Ṣudā‘ Marāqī,صداع مراقي,Referred Headache due to the involvement of the peritoneum,Headache due to involvement of peritoneum.,
A-36.28,Ṣudā‘ Nazlī,صداع نزلي,Catarrhal headache,Headache due to catarrh.,
A-36.29,Ṣudā‘ ‘Arḍī,صداع عرضي,Secondary headache,Symptomatic headache which is produced as a symptom of other diseases e.g. fever.,
A-36.3,Ṣudā‘ Damawī,صداع دموي,Congestive headache,Headache due to predominance of Dam (blood/sanguine).,
A-36.30,Ṣudā‘ Buḥrānī,صداع بحراني,Headache during the crisis of disease,Headache in the crisis/critical stage of diseases.,
A-36.31,Ṣudā‘ Sāda,صداع سادہ,headache without the involvement of matter,A type of headache due to the non-involvement of matter . This condition is characterised by dryness of nostrils and absence of heaviness in the head,
A-36.32,Ṣudā‘ Ḥārr Khārijī,صداع حار خارجي,heat-induced headache without involvement of matter,"A type of headache caused by simple hot morbid temperament as a result of exposure to certain external factors, e.g., walking under sun, staying near the fire, etc.",
A-36.33,Ṣudā‘ Ḥārr Dākhilī,صداع حار داخلي,headache due to the intake of heat producing things without involvement of matter,"A type of headache caused by simple hot morbid temperament as a result of intake of piper, ginger, garlic, etc.",
A-36.34,Ṣudā‘ Bārid Khārijī,صداع بارد خارجي,cold-induced headache without involvement of matter/,"A type of headache caused by simple cold morbid temperament as a result of exposure to certain external factors, e.g., exposure to cold environment, stay in cold places, etc.",
A-36.35,Ṣudā‘ Bārid Dākhilī,صداع بارد داخلي,headache due to the intake of cold producing things without involvement of matter,A type of headache caused by simple cold morbid temperament as a result of intake of diets or drugs of cold temperament and drinking of water after eating fruits of moist temperament.,
A-36.36,Ṣudā‘ Māddī,صداع مادّی,headache due to the involvement of matter,A type of headache due to th involvement of matter. This condition is characterised by moistness of nostrils and heaviness of head.,
A-36.37,Ṣudā‘ Ḥārr Māddī,صداع حار مادّی,headache due to the involvement of hot causative matter,A type of throbbing headache due to the involvement of hot causative matter. This condition is characterised by moistness of nostrils and heaviness of head along with redness of face.,
A-36.38,Ṣudā‘ Bārid Māddī,صداع بارد مادّی,headache due to the involvement of cold matter,A type of headache of chronic nature due to the involvement of cold matter. This condition is characterised by decreased temperature of head along with heaviness in the head.,
A-36.39,Ṣudā‘ Ṭiḥālī,صداع شرکی طحالی,Referred headache due to morbidity of spleen,A type of headache due to the morbid condition of spleen. This condition is characterised by pain occurring in the left side of head.,
A-36.4,Ṣudā‘ Balghamī,صداع بلغمي,Phlegmatic headache,Headache due to predominance of Balgham (phlegm).,
A-36.40,Ṣudā‘ Mi‘wī Dīdānī,صداع معوی دیدانی,Referred headache due to intestinal worms,"A type of referred headache due to intestinal worms. This condition is characterised by pain occurring in the anterior part of the head,  increase in the pain during hunger and movement and foul smell from mouth and nose.",
A-36.41,Ṣudā‘ Raḥimī,صداع رحمی,Referred headache due to morbidity of uterus,"A type of referred headache due to morbid condition of uterus. This condition is ccharacterised by pain occurring in the mid of head, accompanied with amenorrhoea, abortion or child birth.",
A-36.42,Ṣudā‘ Ḥijābī,صداع حجابی,Referred headache due to morbidity of diaphragm,A type of referred headache due to morbid condition of diaphragm. This condition is characterised by pain occurring in the anterior part of the mid of head.,
A-36.43,Ṣudā‘ Kulwī,صداع کلوی,Referred headache due to morbidity of kidneys,A type of referred headache due to morbid condition of kidneys. This condition is characterised by pain occurring in the posterior part of head.,
A-36.44,Ṣudā‘ Ṣulbī,صداع صلبی,Referred headache due to morbidity of spinal column,A type of referred headache due to morbid condition of spinal column. This condition is characterised by pain occurring in the most posterior part of head.,
A-36.45,Ṣudā‘ Aṭrāfī,صداع اطرافی,Referred headache due to morbidity of extremities,A type of referred headache due to morbid condition of extremities. This condition is characterised by pain occurring in the mid of anterior part of head preceded by sensation of ants crawling from extremities towards head.,
A-36.46,Ṣudā‘-i-Ḥummā,صداع حمّیٰ,headache due to fever,A type of headache caused by fever and  increases or decreases in its severity with the increase and decrease of degree of fever.,
A-36.5,Ṣudā‘ Ṣafrāwī,صداع صفراوي,Bilious headache,Headache due to predominance of Ṣafrā’ (yellow bile).,
A-36.6,Ṣudā‘ Sawdāwī,صداع سوداوي,Melancholic headache,Headache due to predominance of Sawdā’ (black bile).,
A-36.7,Ṣudā‘ Rīḥī Dākhilī,صداع ريحي داخلي,headache due to internal gases,Headache due to the accumulation of gases in the brain that are produced in the body.,
A-36.8,Ṣudā‘ Rīḥī Khārijī,صداع ريحي خارجي,headache due to external gases,Headache due to accumulation of gases in the brain from outside the body.,
A-36.9,Ṣudā‘ Bukhārī Dākhilī,صداع بخاري داخلي,headache due to internal vapours,Headache due to excessive production of gases inside the brain.,
A-37,Tamaddud,تمدد,straightening of organ,A type of tension occurring at both ends of the muscles causing maximum stretching of the muscles.,
A-38,Kuzāz,كزاز,Tetanus,"A type of tension occurring in the muscles of cervical and thoracic vertebrae, making them elongated.",
A-38.1,Kuzāz Quddāmī,كزاز قدامي,Emprosthotonus,Tension of the anterior muscles of cervical and thoracic vertebrae.,
A-38.2,Kuzāz Khalfī,كزاز خلفي,Ophisthotonus,Tension of the posterior muscles of cervical and thoracic vertebrae.,
A-38.3,Kuzāz Muṭlaq,كزاز مطلق,Generalized spasm,Tension of the whole muscles of the body.,
A-38.4,Kuzāz Janbī,كزاز جنبي,Pleurothotonus,Tension of muscles of one side of the body.,
A-38.5,Kuzāz Dhātī,كزاز ذاتي,Cold induced muscle contraction,Kuzāz that occurs due to exposure of cold.,
A-38.6,Kuzāz Ṣibyānī,كزاز صبياني,Tetanus neonatarum,Tetanus that occurs in new born due to the wound of umbilical cord.,
A-38.7,Kuzāz Ḍarbī/ Kuzāz Juruḥī,كزاز ضربي/ كزاز جرحي,Traumatic tetanus,Tetanus that occurs due to injury or wound.,
A-38.8,Kuzāz Imtilā’ī,كزاز امتلائی,sustained contraction of muscles due to repletion,A type of sustained contraction of musclescaused by repletion of phlegm in the nerves and muscles.,
A-38.9,Kuzāz Yābis,كزاز یابس,sustained contraction of muscles due to dryness,A type of sustained contraction of muscles caused by predominance of dryness in the nerves and muscles.,
A-39,Laqwa,لقوه,Facial palsy,"A disease of the facial muscles in which face is deviated to either side. In this condition patient cannot close his eyes on the affected side and lips, completely. Saliva continues to dribble from the angles of the mouth. When the patient blows, air comes out from one side of the mouth. When this disease is bilateral there is no deviation of face but lips and eyes do not close completely.",
A-39.1,Laqwa Istirkhā’ī,لقوه استرخائي,deviation of one side of face due to flaccidity of muscles,Deviation of face due to flaccidity of the facial muscles.,
A-39.2,Laqwa Tashannujī,لقوه تشنجي,deviation of one side of face due to spasm of muscles,Deviation of face due to spasm of the facial muscles.,
A-4,Ḥiss-i-Dimāgh,حس دماغ,sensation of itching in brain,,
A-40,Ra‘sha,رعشہ,Tremor,Shivering of the organs of the body due to the weakness or defect in motor system. It is a mixture of voluntary and involuntary movements of the body.,
A-40.1,Ra‘sha Bārid,رعشہ بارد,tremor due to cold morbid temperament,A type of Ra‘sha caused by simple cold morbid temperament of the organ.,
A-40.2,Ra‘sha Sharābiyya,رعشہ شرابيہ,Alcoholic tremors,Shivering of the organs due to increased/habitual intake of alcohol.,
A-40.3,Ri‘sha Jimā‘ī,رعشہ جماعی,tremor due to excessive sexual intercourse,A type of tremors caused by excessive indulgence in sexual intercourse.,
A-41,Irti‘ād,ارتعاد,Twitching of muscles,Trembling of muscles. It occurs due to the predominance of Ruṭūbat (moistness) in the brain.,
A-41.1,Irti‘ād Ruṭūbī,ارتعاد رطوبی,momentary shaking of organs due to predominance of moistness,"A condition of trembling of muscles caused by predominance of moistness on the brain. This condition is characterised by gradual increase in severity, longer intervals between two episodes and occurrence during the early phase of sleep.",
A-41.2,Irti‘ād Sharābī,ارتعاد شرابی,momentary shaking of organs due to liquor intake,A condition of trembling of muscles caused by prolonged liquor intake.,
A-42,Khadar,خدر,Numbness,"The complete/partial loss of sensation of any organ of the body. According to causes it can be of four types i. e. Balghamī (phlegmatic), Damawī (sanguineous), Sawdāwī (melancholic) and Ṣafrāwī (bilious).",
A-42.1,Khadar Damawī,خدردموی,sanguineous numbness,"A type of complete or partial loss of sensation of any organ of the bodydue to predominance of sanguine. This condition is characterised by redness of face and eyes, engorgement of vessels, heaviness in the body and increased sleep.",
A-42.2,Khadar Ṣafrāwī,خدر صفراوی,bilious numbness,A type of complete or partial loss of sensation of any organ of the bodydue to predominance of yellow bile. This condition is characterised by features of predominance of yellow bile,
A-42.3,Khadar Balghamī-o-  Ruṭūbī,خدر بلغمی و رطوبی,phlegmatic numbness,"A type of complete or partial loss of sensation of any organ of the bodydue to predominance of phlegm and moistness. This condition is characterised by lethargy, whitish discoloration of skin and diminished mental clarity.",
A-42.4,Khadar Sawdāwī,خدر سوداوی,melancholic numbness,A type of complete or partial loss of sensation of any organ of the bodydue to predominance of black bile. This condition is characterised by features of predominance of black bile.,
